"AVAILABILITY_STATUS","PRICE_PER_UNIT","ITEM_ID","INGREDIENT_ID"
"high",70,"bbq_ckn_l",1
"high",70,"bbq_ckn_m",1
"high",70,"bbq_ckn_s",1
"medium",25,"bbq_ckn_l",2
"medium",25,"bbq_ckn_m",2
"medium",25,"bbq_ckn_s",2
"medium",25,"ckn_alfredo_l",2
"medium",25,"ckn_alfredo_m",2
"medium",25,"ckn_alfredo_s",2
"medium",25,"ckn_bites",2
"medium",25,"ckn_pesto_l",2
"medium",25,"ckn_pesto_m",2
"medium",25,"ckn_pesto_s",2
"medium",25,"classic_dlx_l",2
"medium",25,"classic_dlx_m",2
"medium",25,"classic_dlx_s",2
"medium",25,"ital_cpcllo_l",2
"medium",25,"ital_cpcllo_m",2
"medium",25,"ital_cpcllo_s",2
"medium",25,"ital_veggie_l",2
"medium",25,"ital_veggie_m",2
"medium",25,"ital_veggie_s",2
"medium",25,"mexicana_l",2
"medium",25,"mexicana_m",2
"medium",25,"mexicana_s",2
"medium",25,"southw_ckn_l",2
"medium",25,"southw_ckn_m",2
"medium",25,"southw_ckn_s",2
"medium",25,"thai_ckn_l",2
"medium",25,"thai_ckn_m",2
"medium",25,"thai_ckn_s",2
"medium",25,"veggie_veg_l",2
"medium",25,"veggie_veg_m",2
"medium",25,"veggie_veg_s",2
"low",30,"bbq_ckn_l",3
"low",30,"bbq_ckn_m",3
"low",30,"bbq_ckn_s",3
"low",30,"pep_msh_pep_l",3
"low",30,"pep_msh_pep_m",3
"low",30,"pep_msh_pep_s",3
"low",30,"veggie_veg_l",3
"low",30,"veggie_veg_m",3
"low",30,"veggie_veg_s",3
"medium",15,"bbq_ckn_l",4
"medium",15,"bbq_ckn_m",4
"medium",15,"bbq_ckn_s",4
"medium",15,"calabrese_l",4
"medium",15,"calabrese_m",4
"medium",15,"calabrese_s",4
"medium",15,"ckn_pesto_l",4
"medium",15,"ckn_pesto_m",4
"medium",15,"ckn_pesto_s",4
"medium",15,"green_garden_l",4
"medium",15,"green_garden_m",4
"medium",15,"green_garden_s",4
